"WeekEndingDate","Country","HBT","TreatmentLocation","DepartmentType","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberOver4HoursEpisode","PercentageWithin4HoursEpisode","NumberOver8HoursEpisode","PercentageOver8HoursEpisode","NumberOver12HoursEpisode","PercentageOver12HoursEpisode"
"20150222","S92000003","S08000015","A210H","Emergency Department",814,624,190,76.7,21,2.6,2,0.2
"20150222","S92000003","S08000015","A111H","Emergency Department",1347,1115,232,82.8,31,2.3,2,0.1
"20150222","S92000003","S08000016","B120H","Emergency Department",517,463,54,89.6,1,0.2,0,0
"20150222","S92000003","S08000017","Y146H","Emergency Department",604,578,26,95.7,0,0,0,0
"20150222","S92000003","S08000017","Y144H","Emergency Department",196,185,11,94.4,1,0.5,0,0
"20150222","S92000003","S08000029","F704H","Emergency Department",1284,1135,149,88.4,22,1.7,7,0.5
"20150222","S92000003","S08000019","V217H","Emergency Department",1095,1053,42,96.2,0,0,0,0
"20150222","S92000003","S08000020","N101H","Emergency Department",1116,952,164,85.3,36,3.2,3,0.3
"20150222","S92000003","S08000020","N411H","Emergency Department",434,409,25,94.2,2,0.5,1,0.2
"20150222","S92000003","S08000020","N121H","Emergency Department",327,320,7,97.9,0,0,0,0
"20150222","S92000003","S08000031","G107H","Emergency Department",1550,1173,377,75.7,55,3.5,1,0.1
"20150222","S92000003","S08000031","C313H","Emergency Department",625,523,102,83.7,7,1.1,0,0
"20150222","S92000003","S08000031","C418H","Emergency Department",1296,971,325,74.9,67,5.2,18,1.4
"20150222","S92000003","S08000031","G513H","Emergency Department",961,950,11,98.9,0,0,0,0
"20150222","S92000003","S08000031","G405H","Emergency Department",928,678,250,73.1,53,5.7,12,1.3
"20150222","S92000003","S08000031","G306H","Emergency Department",1147,837,310,73,89,7.8,25,2.2
"20150222","S92000003","S08000031","G516H","Emergency Department",1072,624,448,58.2,192,17.9,71,6.6
"20150222","S92000003","S08000022","H212H","Emergency Department",138,129,9,93.5,0,0,0,0
"20150222","S92000003","S08000022","H103H","Emergency Department",134,123,11,91.8,0,0,0,0
"20150222","S92000003","S08000022","C121H","Emergency Department",126,125,1,99.2,0,0,0,0
"20150222","S92000003","S08000022","H202H","Emergency Department",552,526,26,95.3,1,0.2,0,0
"20150222","S92000003","S08000032","L302H","Emergency Department",1097,897,200,81.8,41,3.7,13,1.2
"20150222","S92000003","S08000032","L106H","Emergency Department",1335,1221,114,91.5,3,0.2,0,0
"20150222","S92000003","S08000032","L308H","Emergency Department",1216,1006,210,82.7,76,6.3,32,2.6
"20150222","S92000003","S08000024","S319H","Emergency Department",799,787,12,98.5,0,0,0,0
"20150222","S92000003","S08000024","S314H","Emergency Department",2145,2010,135,93.7,32,1.5,0,0
"20150222","S92000003","S08000024","S308H","Emergency Department",972,903,69,92.9,2,0.2,0,0
"20150222","S92000003","S08000025","R103H","Emergency Department",91,85,6,93.4,0,0,0,0
